행정구역,2022년10월_남_총인구수,2022년10월_남_연령구간인구수,2022년10월_남_0세,2022년10월_남_1세,2022년10월_남_2세,2022년10월_남_3세,2022년10월_남_4세,2022년10월_남_5세,2022년10월_남_6세,2022년10월_남_7세,2022년10월_남_8세,2022년10월_남_9세,2022년10월_남_10세,2022년10월_남_11세,2022년10월_남_12세,2022년10월_남_13세,2022년10월_남_14세,2022년10월_남_15세,2022년10월_남_16세,2022년10월_남_17세,2022년10월_남_18세,2022년10월_남_19세,2022년10월_남_20세,2022년10월_남_21세,2022년10월_남_22세,2022년10월_남_23세,2022년10월_남_24세,2022년10월_남_25세,2022년10월_남_26세,2022년10월_남_27세,2022년10월_남_28세,2022년10월_남_29세,2022년10월_남_30세,2022년10월_남_31세,2022년10월_남_32세,2022년10월_남_33세,2022년10월_남_34세,2022년10월_남_35세,2022년10월_남_36세,2022년10월_남_37세,2022년10월_남_38세,2022년10월_남_39세,2022년10월_남_40세,2022년10월_남_41세,2022년10월_남_42세,2022년10월_남_43세,2022년10월_남_44세,2022년10월_남_45세,2022년10월_남_46세,2022년10월_남_47세,2022년10월_남_48세,2022년10월_남_49세,2022년10월_남_50세,2022년10월_남_51세,2022년10월_남_52세,2022년10월_남_53세,2022년10월_남_54세,2022년10월_남_55세,2022년10월_남_56세,2022년10월_남_57세,2022년10월_남_58세,2022년10월_남_59세,2022년10월_남_60세,2022년10월_남_61세,2022년10월_남_62세,2022년10월_남_63세,2022년10월_남_64세,2022년10월_남_65세,2022년10월_남_66세,2022년10월_남_67세,2022년10월_남_68세,2022년10월_남_69세,2022년10월_남_70세,2022년10월_남_71세,2022년10월_남_72세,2022년10월_남_73세,2022년10월_남_74세,2022년10월_남_75세,2022년10월_남_76세,2022년10월_남_77세,2022년10월_남_78세,2022년10월_남_79세,2022년10월_남_80세,2022년10월_남_81세,2022년10월_남_82세,2022년10월_남_83세,2022년10월_남_84세,2022년10월_남_85세,2022년10월_남_86세,2022년10월_남_87세,2022년10월_남_88세,2022년10월_남_89세,2022년10월_남_90세,2022년10월_남_91세,2022년10월_남_92세,2022년10월_남_93세,2022년10월_남_94세,2022년10월_남_95세,2022년10월_남_96세,2022년10월_남_97세,2022년10월_남_98세,2022년10월_남_99세,2022년10월_남_100세 이상,2022년10월_여_총인구수,2022년10월_여_연령구간인구수,2022년10월_여_0세,2022년10월_여_1세,2022년10월_여_2세,2022년10월_여_3세,2022년10월_여_4세,2022년10월_여_5세,2022년10월_여_6세,2022년10월_여_7세,2022년10월_여_8세,2022년10월_여_9세,2022년10월_여_10세,2022년10월_여_11세,2022년10월_여_12세,2022년10월_여_13세,2022년10월_여_14세,2022년10월_여_15세,2022년10월_여_16세,2022년10월_여_17세,2022년10월_여_18세,2022년10월_여_19세,2022년10월_여_20세,2022년10월_여_21세,2022년10월_여_22세,2022년10월_여_23세,2022년10월_여_24세,2022년10월_여_25세,2022년10월_여_26세,2022년10월_여_27세,2022년10월_여_28세,2022년10월_여_29세,2022년10월_여_30세,2022년10월_여_31세,2022년10월_여_32세,2022년10월_여_33세,2022년10월_여_34세,2022년10월_여_35세,2022년10월_여_36세,2022년10월_여_37세,2022년10월_여_38세,2022년10월_여_39세,2022년10월_여_40세,2022년10월_여_41세,2022년10월_여_42세,2022년10월_여_43세,2022년10월_여_44세,2022년10월_여_45세,2022년10월_여_46세,2022년10월_여_47세,2022년10월_여_48세,2022년10월_여_49세,2022년10월_여_50세,2022년10월_여_51세,2022년10월_여_52세,2022년10월_여_53세,2022년10월_여_54세,2022년10월_여_55세,2022년10월_여_56세,2022년10월_여_57세,2022년10월_여_58세,2022년10월_여_59세,2022년10월_여_60세,2022년10월_여_61세,2022년10월_여_62세,2022년10월_여_63세,2022년10월_여_64세,2022년10월_여_65세,2022년10월_여_66세,2022년10월_여_67세,2022년10월_여_68세,2022년10월_여_69세,2022년10월_여_70세,2022년10월_여_71세,2022년10월_여_72세,2022년10월_여_73세,2022년10월_여_74세,2022년10월_여_75세,2022년10월_여_76세,2022년10월_여_77세,2022년10월_여_78세,2022년10월_여_79세,2022년10월_여_80세,2022년10월_여_81세,2022년10월_여_82세,2022년10월_여_83세,2022년10월_여_84세,2022년10월_여_85세,2022년10월_여_86세,2022년10월_여_87세,2022년10월_여_88세,2022년10월_여_89세,2022년10월_여_90세,2022년10월_여_91세,2022년10월_여_92세,2022년10월_여_93세,2022년10월_여_94세,2022년10월_여_95세,2022년10월_여_96세,2022년10월_여_97세,2022년10월_여_98세,2022년10월_여_99세,2022년10월_여_100세 이상,
부산광역시  (2600000000),1622749,1622749,6989,7712,8298,8915,10216,11284,12820,13656,13505,13435,14694,14153,13669,12970,13559,13761,12666,12697,13917,14527,14929,17986,20561,20253,21151,21367,22528,22100,22498,22830,22820,21294,20307,19757,18827,18663,19212,19579,20742,23188,25615,26543,27210,25303,23322,23187,22428,24062,26319,26298,27075,28203,27823,27626,27976,25589,25856,25079,24081,26959,28062,30305,30280,27813,26628,26887,24632,25546,21852,18827,20338,15802,15934,15968,15233,14277,10631,10110,10311,10104,10400,8004,6790,6111,4766,4006,3165,2502,1954,1410,1062,730,519,442,277,169,101,57,47,38,70,1699537,1699537,6673,7225,7762,8723,9650,10781,12314,12876,12759,12803,13822,13744,12731,12184,12803,13166,11909,11920,13111,13672,14495,17189,19544,18844,19843,20318,20707,20522,20786,20615,21303,19722,18828,18483,17801,18116,17981,18720,20024,22707,24919,25547,26551,25035,22390,22557,21843,24000,26056,26796,26846,28854,28565,28991,29514,28125,26386,27536,25680,28558,30335,34446,34562,30886,29380,29886,27820,29773,23675,22140,23392,18592,18663,19294,18470,17719,12695,12727,13282,13465,14622,11900,10649,10054,8269,7466,6417,5900,4708,3645,3169,2321,1831,1589,1259,927,503,408,240,209,324,
부산광역시 중구 (2611000000),19377,19377,51,29,37,36,54,65,64,72,73,71,87,85,76,89,84,74,92,90,100,128,138,191,235,230,269,291,335,365,339,319,362,321,264,227,223,201,184,207,177,217,254,253,277,236,237,226,238,297,287,351,363,341,321,399,348,307,336,295,300,360,382,376,416,390,393,395,343,417,341,279,308,227,256,232,222,205,185,169,183,175,169,139,119,105,83,59,52,35,36,24,24,19,16,9,7,5,0,0,2,1,1,20559,20559,33,35,32,35,31,54,52,55,72,81,72,80,88,78,82,90,81,88,101,136,166,227,286,311,368,356,362,310,335,319,321,254,223,191,180,190,169,185,179,204,186,197,234,199,200,204,198,239,259,279,280,331,335,313,324,321,299,335,269,347,392,459,447,397,434,470,374,460,347,343,356,302,322,336,317,276,237,229,233,231,276,221,179,180,152,133,109,96,81,53,56,37,38,29,38,15,15,6,2,13,7,
부산광역시 서구 (2614000000),50911,50911,192,212,192,234,228,281,344,371,335,371,371,388,347,345,328,373,345,331,389,417,426,517,639,642,642,658,697,615,651,645,656,555,562,529,515,477,503,510,521,628,685,727,794,760,617,649,675,705,803,845,866,874,916,895,899,880,832,811,815,932,969,1005,1116,913,933,893,904,881,817,675,773,607,619,638,570,577,431,384,446,412,457,336,294,279,209,197,163,126,90,70,54,24,24,22,9,9,4,5,4,4,6,54447,54447,145,175,209,216,232,280,298,305,323,288,367,350,345,298,357,348,321,325,405,415,454,640,669,681,748,687,709,638,632,615,614,505,525,483,472,453,416,508,547,604,695,702,739,666,627,629,585,647,761,814,775,856,817,852,843,791,811,856,823,884,926,1146,1201,1100,1001,1049,975,1123,913,807,919,751,750,789,728,740,556,553,575,647,635,554,494,492,385,326,296,283,188,167,144,113,74,80,61,61,15,20,18,8,9,
부산광역시 동구 (2617000000),42512,42512,179,200,159,165,205,212,220,233,200,231,258,237,219,196,238,260,224,232,271,283,310,418,379,421,498,476,578,577,617,640,666,584,588,549,506,490,493,519,519,610,612,652,620,651,550,551,559,636,644,669,759,756,766,795,773,708,701,672,644,706,755,827,876,805,774,834,739,730,636,599,641,549,503,540,526,439,376,327,375,375,397,293,242,236,171,164,141,92,60,69,36,27,21,14,15,4,7,3,2,2,6,44436,44436,197,161,153,174,140,196,203,217,215,200,232,210,215,199,214,261,220,200,245,277,290,384,448,423,486,567,613,563,618,575,632,595,520,513,427,456,411,450,475,497,538,503,516,519,484,482,460,514,612,616,630,707,649,732,691,716,635,659,616,714,800,928,937,860,806,889,838,918,723,699,790,642,610,682,654,660,456,518,536,516,597,495,450,432,332,285,282,244,183,143,134,87,57,55,48,40,18,6,6,3,12,
부산광역시 영도구 (2620000000),53391,53391,141,155,176,178,235,229,273,308,321,295,361,340,359,322,340,370,332,324,380,414,431,544,627,586,651,611,608,569,632,610,679,524,523,490,485,477,523,524,563,629,689,735,762,673,686,668,665,767,869,855,915,957,930,883,992,953,995,860,826,996,1060,1175,1221,1089,1111,1079,1043,1084,943,785,880,703,723,757,689,707,500,489,478,517,512,416,314,287,248,172,156,122,104,55,51,41,19,17,8,10,5,1,1,3,1,55114,55114,142,154,164,208,220,228,286,266,288,308,307,366,331,305,317,335,338,318,383,336,399,455,504,471,511,494,494,526,483,468,485,492,427,436,428,397,396,472,473,569,625,665,713,654,602,579,625,715,781,805,823,812,841,907,925,864,819,922,825,952,1104,1259,1265,1217,1135,1176,1152,1319,1017,936,1019,865,874,939,866,918,664,673,684,722,771,632,595,529,368,397,319,273,219,173,158,89,82,87,62,45,29,15,8,11,14,
부산광역시 부산진구 (2623000000),170113,170113,739,787,830,826,1036,1002,1154,1189,1179,1120,1230,1231,1171,1131,1177,1188,1134,1099,1368,1410,1432,1875,2311,2249,2415,2555,2765,2774,2818,2973,2901,2688,2559,2441,2303,2254,2197,2274,2275,2476,2649,2651,2711,2528,2341,2252,2222,2444,2701,2644,2779,2844,2907,2818,2794,2524,2639,2641,2518,2767,2870,3179,3077,2863,2747,2793,2608,2656,2297,1888,2100,1641,1681,1706,1581,1471,1058,1039,1087,1063,1126,891,741,675,509,435,348,290,236,163,143,79,54,45,28,12,6,5,3,4,5,183455,183455,703,764,765,858,911,977,1107,1160,1138,1117,1264,1233,1089,1074,1163,1203,1111,1113,1227,1401,1619,2097,2489,2511,2729,2959,2955,2953,2990,2850,2916,2716,2413,2411,2159,2152,2021,2086,2106,2412,2490,2526,2582,2518,2112,2215,2238,2372,2636,2685,2820,2978,2863,2930,3021,2907,2777,2881,2646,2908,3181,3640,3707,3344,3114,3141,2896,3056,2447,2349,2403,1996,1936,2059,1985,1902,1376,1402,1425,1449,1714,1326,1218,1155,920,854,686,628,456,398,298,257,175,169,115,98,40,42,28,13,30,
부산광역시 동래구 (2626000000),132632,132632,634,696,802,831,892,1013,1240,1294,1316,1319,1441,1336,1425,1240,1387,1370,1217,1226,1319,1293,1291,1463,1588,1574,1492,1578,1675,1669,1620,1763,1729,1631,1539,1591,1505,1495,1622,1651,1690,1941,2169,2272,2419,2177,1998,1984,1892,2105,2300,2219,2361,2344,2286,2285,2201,2039,1945,1893,1761,1947,2102,2234,2223,2155,2004,2086,1805,1931,1689,1440,1598,1252,1244,1258,1218,1125,843,846,818,749,782,629,549,464,339,306,262,177,136,99,81,58,49,28,19,17,4,11,2,1,4,141158,141158,617,656,699,822,847,1062,1156,1235,1219,1222,1296,1309,1254,1178,1234,1285,1163,1079,1218,1226,1185,1333,1462,1443,1528,1574,1581,1552,1611,1587,1655,1545,1540,1500,1508,1492,1576,1568,1788,2078,2345,2198,2462,2362,2077,2039,2085,2247,2312,2357,2292,2505,2383,2392,2336,2293,2075,2226,2016,2219,2422,2679,2689,2427,2306,2296,2250,2438,1879,1799,1840,1531,1514,1466,1439,1322,958,909,1004,982,1055,852,771,676,572,510,455,440,362,285,210,164,154,118,87,68,41,32,12,19,21,
부산광역시 남구 (2629000000),125514,125514,419,454,560,590,747,816,957,1080,1061,1094,1163,1106,1202,1065,1134,1250,1067,1098,1158,1246,1281,1541,1986,2022,2112,1938,1844,1721,1576,1597,1574,1412,1325,1335,1182,1245,1312,1307,1433,1648,1867,1971,2047,1919,1817,1796,1728,2032,2209,2216,2248,2277,2179,2276,2157,1964,1873,1824,1820,1888,1948,2084,2163,2008,1954,2018,1783,1900,1642,1453,1555,1238,1286,1304,1202,1171,866,844,885,898,925,665,615,531,435,352,265,201,168,114,86,55,42,36,22,7,6,5,6,6,4,131633,131633,390,483,506,598,641,809,969,976,1003,1033,1163,1163,1075,1022,1040,1097,1020,1013,1080,1312,1421,1683,1949,1721,1580,1519,1513,1472,1376,1406,1402,1255,1233,1197,1084,1239,1231,1289,1388,1645,1861,1966,2031,2061,1808,1880,1789,1882,2149,2202,2116,2363,2271,2201,2221,2015,1978,1937,1846,2081,2176,2446,2629,2297,2267,2326,2202,2324,1857,1699,1915,1546,1582,1589,1527,1470,1051,1101,1195,1236,1144,932,839,800,662,581,520,459,382,253,246,169,133,123,96,80,39,35,12,9,30,
부산광역시 북구 (2632000000),137808,137808,656,700,677,772,864,964,1054,1115,1079,1074,1177,1121,1091,1064,1100,1079,1135,1175,1200,1300,1291,1622,1805,1689,1809,1818,1903,1927,1944,1923,1994,1979,1799,1750,1605,1608,1570,1684,1754,1854,2008,2040,2060,1972,1771,1869,1725,1913,2020,2071,2052,2272,2335,2396,2490,2378,2468,2433,2316,2681,2747,3152,2989,2695,2460,2492,2198,2239,1862,1582,1705,1274,1361,1175,1113,1079,830,737,725,750,782,571,464,410,321,269,214,179,137,100,58,39,26,25,17,12,12,1,7,1,3,141962,141962,613,647,708,708,834,888,1018,1006,1024,1001,1065,1028,993,1071,1067,1076,982,1032,1093,1132,1210,1405,1515,1444,1561,1620,1692,1720,1703,1722,1850,1614,1625,1613,1596,1501,1491,1468,1524,1683,1910,1959,2003,1976,1705,1748,1675,1976,2088,2366,2260,2536,2667,2796,2934,2802,2695,2756,2582,2839,2881,3276,3162,2751,2562,2528,2322,2476,1936,1672,1785,1381,1427,1433,1381,1296,934,869,945,965,1121,864,753,728,616,510,504,445,391,272,257,186,123,114,91,60,31,36,17,18,27,
부산광역시 해운대구 (2635000000),186088,186088,745,842,987,1055,1198,1364,1547,1711,1684,1837,1907,1904,1849,1792,1877,1936,1785,1778,1889,1912,1953,2280,2396,2284,2254,2232,2407,2334,2378,2320,2323,2126,2012,2017,1962,1938,1987,2035,2307,2460,2877,2957,3088,2847,2794,2901,2861,2865,3165,3249,3390,3569,3524,3448,3403,3061,3022,2962,2798,3217,3214,3314,3296,3047,2947,2827,2827,2715,2332,1966,2101,1610,1634,1644,1626,1479,1029,1105,1115,993,1012,807,723,675,538,440,347,292,231,167,130,85,61,58,30,32,10,5,6,4,12,201752,201752,710,811,921,1020,1190,1231,1489,1643,1583,1621,1773,1800,1734,1669,1824,1836,1707,1716,1817,1726,1691,1966,2116,2040,2098,2179,2245,2152,2201,2237,2278,2117,2028,2027,2013,2111,2141,2214,2403,2731,2983,3196,3467,3279,2956,3007,2915,3290,3655,3572,3722,3987,3855,3727,3754,3578,3223,3362,3164,3521,3457,3825,3782,3375,3299,3286,3000,3210,2472,2384,2559,1851,1956,2109,1941,1861,1287,1372,1382,1484,1572,1319,1148,1098,971,852,744,679,507,447,376,254,223,177,162,109,62,46,29,27,36,
