년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
Oct.07,108,13.9,3.3,25.4
Nov.07,108,5.3,-8.9,21.3
Dec.07,108,-3.9,-20.1,9
Sep.08,108,19.3,9,28.7
Oct.08,108,13.6,-0.3,25.3
Nov.08,108,3.6,-8.6,18.9
Dec.08,108,-0.8,-12.7,11.7
Sep.09,108,20.2,10.1,29.5
Oct.09,108,12.2,-0.8,26.5
Nov.09,108,5.2,-7,20.3
Dec.09,108,-3.4,-14.6,11
Sep.10,108,19.1,10.2,27
Oct.10,108,13.7,1.3,24.1
Nov.10,108,5.5,-8.4,20.2
Dec.10,108,-4.6,-16.8,5.8
Sep.11,108,20.8,11,32.8
Oct.11,108,11.6,0.1,22.9
Nov.11,108,6,-4.9,15.7
Dec.11,108,-3,-14.9,9.5
Sep.12,108,17.7,7.3,32.2
Oct.12,108,11.1,-1.2,25.7
Nov.12,108,1.4,-9.9,16.5
Dec.12,108,-3,-18.6,8.8
Sep.13,108,19.3,8,30
Oct.13,108,13,-1,30.1
Nov.13,108,4.9,-8.9,17.6
Dec.13,108,-1.9,-16.9,10.9
Sep.14,108,20.6,9.7,32.4
Oct.14,108,13.7,1.9,24.1
Nov.14,108,6.1,-7,21.1
Dec.14,108,-1,-10.2,14.1
Sep.15,108,19.3,9.3,27.9
Oct.15,108,14.7,-1.7,26.8
Nov.15,108,6.2,-6.4,17.8
Dec.15,108,0.8,-12.8,13.5
Sep.16,108,19.2,6.8,28.2
Oct.16,108,12.7,0.2,22.9
Nov.16,108,6.5,-9.7,23.3
Dec.16,108,-1.4,-19,11.6
Sep.17,108,20,11.1,29.6
Oct.17,108,13.2,-0.4,24.5
Nov.17,108,3.3,-7.6,18.1
Dec.17,108,-5.7,-20.4,10.9
Sep.18,108,19.2,8.7,29.9
Oct.18,108,12.9,-2.6,25
Nov.18,108,4.6,-6.2,20.4
Dec.18,108,-1.5,-13,9.7
Sep.19,108,19.5,8.6,28.8
Oct.19,108,12.8,-2.2,26.3
Nov.19,108,5.8,-9.3,19.9
Dec.19,108,-2.7,-19.3,8.5
Sep.20,108,21.1,10.6,33
Oct.20,108,14.7,2.7,25.9
Nov.20,108,7.3,-4.6,21.9
Dec.20,108,-1.2,-18.9,12.9
Sep.21,108,19.8,9.8,30.8
Oct.21,108,12.3,-0.5,24
Nov.21,108,3.4,-9.4,17.2
Dec.21,108,-0.7,-13.6,11.7
Sep.22,108,20.7,6.2,32.5
Oct.22,108,14.1,1.3,25.2
Nov.22,108,3.5,-11.6,19.1
Dec.22,108,-3.9,-15.7,8.5
Sep.23,108,19.4,5.6,30.4
Oct.23,108,12.5,0.4,22.1
Nov.23,108,4.7,-10.9,16.7
Dec.23,108,-2.1,-16.8,8.9
Sep.24,108,20.3,8.6,32.4
Oct.24,108,12.6,-4,26.2
Nov.24,108,3.3,-9,16.5
Dec.24,108,-1.6,-14,10.7
Sep.25,108,19.8,8.1,30
Oct.25,108,13.3,-1.3,23.8
Nov.25,108,7.4,-6.2,18.6
Dec.25,108,-1.4,-17.4,14.1
Sep.26,108,20.3,9,30
Oct.26,108,11.5,-1.1,23.6
Nov.26,108,6.3,-4.5,17.5
Dec.26,108,-4,-16.9,12.5
Sep.27,108,19.6,8.2,29.5
Oct.27,108,12.8,0.8,26.6
Nov.27,108,7.7,-4.5,19.9
Dec.27,108,-2,-23.1,10.2
Sep.28,108,20.3,3.2,31.7
Oct.28,108,12.3,-1.5,25.7
Nov.28,108,5.2,-7.7,18
Dec.28,108,-1.9,-16.3,13.3
